experiment_id,preprocessing,vectorization,sampling,model,accuracy,f1_score,precision,recall,f1_toxic,f1_non_toxic,best_threshold,accuracy_tuned,f1_tuned,precision_tuned,recall_tuned,duration_seconds,timestamp,error
571,moderate,tfidf_trigram,smote,LightGBM,0.9276317788242443,0.7010542168674698,0.6613781671797301,0.7457943925233644,0.7010542168674698,0.9588330856175037,0.6500000000000001,0.9463162691781862,0.7390341160832964,0.8268341044282882,0.668090787716956,63.296337,2025-10-03 05:55:14,
572,moderate,tfidf_trigram,smote,LightGBM (Tuned),0.9087953820446605,0.6486423220973783,0.5774119608251719,0.7399198931909212,0.6486423220973783,0.9475962713402926,0.6500000000000001,0.9403919185781558,0.7076877234803337,0.8004718570947085,0.6341789052069426,59.485239,2025-10-03 05:56:13,
573,moderate,count_basic,none,Logistic Regression (Balanced),0.9227403919185782,0.7170357182597085,0.6146508966043495,0.860347129506008,0.7170357182597085,0.9552627412346287,0.8500000000000002,0.9514203250797508,0.7729660655970467,0.8253486961795027,0.7268357810413886,8.24756,2025-10-03 05:56:29,
574,moderate,count_basic,none,Logistic Regression (C=0.1),0.9263861461339815,0.7271089086608853,0.6287495130502532,0.8619492656875835,0.7271089086608853,0.9574546540008078,0.7000000000000002,0.9491721099802521,0.7740715732613099,0.7830601092896174,0.7652870493991989,4.79181,2025-10-03 05:56:33,
575,moderate,count_basic,none,Logistic Regression (C=10),0.9180920552939389,0.7037362637362637,0.5979458450046685,0.8550066755674233,0.7037362637362637,0.9524766437511017,0.8500000000000002,0.9479872398602461,0.7652865368796271,0.7864187094956325,0.7452603471295061,13.621452,2025-10-03 05:56:47,
576,moderate,count_basic,none,Random Forest (100 trees),0.935105574965821,0.6331157677773961,0.8873375060182956,0.49212283044058747,0.6331157677773961,0.9644047460338622,0.25000000000000006,0.9364119702263406,0.7274384685505926,0.7099644128113879,0.7457943925233644,127.050092,2025-10-03 05:58:54,
577,moderate,count_basic,none,Random Forest (200 trees),0.7950478505240771,0.4638372277857256,0.33020255742899174,0.7791722296395194,0.4638372277857256,0.8733097956730769,0.6000000000000002,0.926173477138083,0.6137952956134775,0.7581468394189242,0.5156208277703604,22.198957,2025-10-03 05:59:16,
578,moderate,count_basic,none,Naive Bayes,0.9303964757709251,0.708412880234186,0.6767996108949417,0.7431241655540721,0.708412880234186,0.9604816035050799,0.7500000000000002,0.9396323864499468,0.7223697079782032,0.7576201641266119,0.6902536715620827,0.17819,2025-10-03 05:59:16,
579,moderate,count_basic,none,Naive Bayes (alpha=0.1),0.9301838067750265,0.7071865443425076,0.6763343894711187,0.7409879839786382,0.7071865443425076,0.9603670104515194,0.7000000000000002,0.9382652286191706,0.7208791208791209,0.7422913719943423,0.7006675567423231,0.173832,2025-10-03 05:59:17,
580,moderate,count_basic,none,XGBoost,0.9520887133525748,0.7483644486995372,0.9298176050753371,0.6261682242990654,0.7483644486995372,0.9735238319090711,0.25000000000000006,0.9537293027495063,0.7846132088813463,0.8340348767288034,0.740720961281709,2.654031,2025-10-03 05:59:19,
